"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2013","98.3","1.7","3,802"
"Alaska","2013","87.1","12.9","1,291"
"Arizona","2013","94.6","5.4","4,148"
"Arkansas","2013","94.3","5.7","5,256"
"California","2013","93.7","6.3","36,991"
"Colorado","2013","95.5","4.5","5,046"
"Connecticut","2013","93.9","6.1","3,711"
"Delaware","2013","96.9","3.1","947"
"District of Columbia","2013","94.7","5.3","1,143"
"Florida","2013","94.1","5.9","24,821"
"Georgia","2013","95.8","4.2","9,623"
"Hawaii","2013","98.9","1.1","647"
"Idaho","2013","97.1","2.9","798"
"Illinois","2013","94.9","5.1","8,991"
"Indiana","2013","92.9","7.1","10,534"
"Iowa","2013","92","8","5,706"
"Kansas","2013","97.1","2.9","957"
"Kentucky","2013","94.1","5.9","8,038"
"Louisiana","2013","93.5","6.5","4,897"
"Maine","2013","93.7","6.3","1,934"
"Maryland","2013","92.8","7.2","6,182"
"Massachusetts","2013","91","9","9,992"
"Michigan","2013","93.3","6.7","16,531"
"Minnesota","2013","96.5","3.5","2,039"
"Mississippi","2013","93.5","6.5","3,492"
"Missouri","2013","96.6","3.4","2,272"
"Montana","2013","95.7","4.3","784"
"Nebraska","2013","93.8","6.2","1,785"
"Nevada","2013","96.2","3.8","2,777"
"New Hampshire","2013","98.2","1.8","333"
"New Jersey","2013","94.2","5.8","3,738"
"New Mexico","2013","88.5","11.5","3,140"
"New York","2013","88.3","11.7","34,683"
"North Carolina","2013","98.1","1.9","3,763"
"North Dakota","2013","95.4","4.6","747"
"Ohio","2013","93.1","6.9","13,765"
"Oklahoma","2013","91.5","8.5","5,548"
"Oregon","2013","96.4","3.6","4,562"
"Pennsylvania","2013","98.1","1.9","1,565"
"Puerto Rico","2013","95.4","4.6","4,171"
"Rhode Island","2013","91.8","8.2","1,590"
"South Carolina","2013","97.5","2.5","4,978"
"South Dakota","2013","95.5","4.5","469"
"Tennessee","2013","97.6","2.4","4,761"
"Texas","2013","97","3","30,651"
"Utah","2013","93.7","6.3","4,594"
"Vermont","2013","91.8","8.2","330"
"Virginia","2013","96.9","3.1","2,491"
"Washington","2013","92.1","7.9","3,418"
"West Virginia","2013","97.7","2.3","2,264"
"Wisconsin","2013","96","4","2,148"
"Wyoming","2013","99.2","0.8","369"
