"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2013","0.09","99.91","7,466"
"Alaska","2013","0.99","99.01","2,837"
"Arizona","2013","0.21","99.79","23,823"
"Arkansas","2013","0.16","99.84","7,407"
"California","2013","0.25","99.75","85,795"
"Colorado","2013","0.74","99.26","10,556"
"Connecticut","2013","0.93","99.07","6,045"
"Delaware","2013","0.43","99.57","1,162"
"District of Columbia","2013","0.52","99.48","1,937"
"Florida","2013","0.98","99.02","33,237"
"Georgia","2013","0.7","99.3","13,510"
"Hawaii","2013","0.34","99.66","2,042"
"Idaho","2013","0.37","99.63","2,428"
"Illinois","2013","0.38","99.62","21,866"
"Indiana","2013","0.13","99.87","18,828"
"Iowa","2013","0.35","99.65","10,520"
"Kansas","2013","0.29","99.71","9,861"
"Kentucky","2013","0.54","99.46","12,270"
"Louisiana","2013","DQ*","DQ*","7,414"
"Maine","2013","0.49","99.51","2,463"
"Maryland","2013","0.46","99.54","7,098"
"Massachusetts","2013","1.05","98.95","13,610"
"Michigan","2013","0.69","99.31","22,094"
"Minnesota","2013","0.25","99.75","11,124"
"Mississippi","2013","0.94","99.06","6,141"
"Missouri","2013","0.34","99.66","15,843"
"Montana","2013","0.18","99.82","3,358"
"Nebraska","2013","0.36","99.64","7,745"
"Nevada","2013","0.47","99.53","8,037"
"New Hampshire","2013","0","0","1,174"
"New Jersey","2013","0.34","99.66","12,052"
"New Mexico","2013","0.32","99.68","3,746"
"New York","2013","0.9","99.1","33,058"
"North Carolina","2013","DQ*","DQ*","13,291"
"North Dakota","2013","0.1","99.9","2,013"
"Ohio","2013","0.56","99.44","21,462"
"Oklahoma","2013","1.19","98.81","15,045"
"Oregon","2013","0.64","99.36","12,329"
"Pennsylvania","2013","0.11","99.89","22,894"
"Puerto Rico","2013","1.34","98.66","4,998"
"Rhode Island","2013","1.13","98.87","2,825"
"South Carolina","2013","0.43","99.57","6,003"
"South Dakota","2013","0.09","99.91","2,295"
"Tennessee","2013","0.11","99.89","14,488"
"Texas","2013","0.29","99.71","46,144"
"Utah","2013","0.25","99.75","4,871"
"Vermont","2013","0.12","99.88","1,615"
"Virginia","2013","0.21","99.79","7,059"
"Washington","2013","0.32","99.68","15,239"
"West Virginia","2013","0.27","99.73","7,740"
"Wisconsin","2013","0.07","99.93","10,851"
"Wyoming","2013","0","0","1,896"
