"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2017","97.8","2.2","4901"
"Alaska","2017","88.2","11.8","1364"
"Arizona","2017","98.1","1.9","2378"
"Arkansas","2017","95.5","4.5","4422"
"California","2017","94","6","32176"
"Colorado","2017","93.7","6.3","5695"
"Connecticut","2017","93","7","4265"
"Delaware","2017","98.1","1.9","792"
"District of Columbia","2017","91.8","8.2","932"
"Florida","2017","94.4","5.6","19946"
"Georgia","2017","97.7","2.3","4538"
"Hawaii","2017","99.5","0.5","643"
"Idaho","2017","96.5","3.5","874"
"Illinois","2017","91.5","8.5","13900"
"Indiana","2017","93","7","14344"
"Iowa","2017","90.7","9.3","5263"
"Kansas","2017","95.9","4.1","2097"
"Kentucky","2017","89.6","10.4","11209"
"Louisiana","2017","93.7","6.3","5249"
"Maine","2017","94.7","5.3","1666"
"Maryland","2017","92.3","7.7","3782"
"Massachusetts","2017","89.7","10.3","13079"
"Michigan","2017","93.3","6.7","19161"
"Minnesota","2017","92.9","7.1","4476"
"Mississippi","2017","93.5","6.5","5190"
"Missouri","2017","97","3","2186"
"Montana","2017","93.9","6.1","1747"
"Nebraska","2017","96.1","3.9","1500"
"Nevada","2017","94.9","5.1","2274"
"New Hampshire","2017","98.9","1.1","446"
"New Jersey","2017","95.5","4.5","3438"
"New Mexico","2017","87.9","12.1","4409"
"New York","2017","87.2","12.8","39066"
"North Carolina","2017","97.1","2.9","3783"
"North Dakota","2017","96.9","3.1","1049"
"Ohio","2017","91.5","8.5","12110"
"Oklahoma","2017","94.8","5.2","7018"
"Oregon","2017","86.1","13.9","6138"
"Pennsylvania","2017","97.2","2.8","2179"
"Puerto Rico","2017","96.8","3.2","2691"
"Rhode Island","2017","93.1","6.9","1432"
"South Carolina","2017","96.6","3.4","8774"
"South Dakota","2017","96.8","3.2","655"
"Tennessee","2017","97.7","2.3","4464"
"Texas","2017","97.3","2.7","29394"
"Utah","2017","93.7","6.3","5037"
"Vermont","2017","95.6","4.4","433"
"Virginia","2017","97.2","2.8","3003"
"Washington","2017","91","9","2268"
"West Virginia","2017","95.6","4.4","3290"
"Wisconsin","2017","95.8","4.2","2432"
"Wyoming","2017","98.3","1.7","482"
