"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2014","0.17","99.83","7,584"
"Alaska","2014","0.39","99.61","3,101"
"Arizona","2014","0.11","99.89","26,237"
"Arkansas","2014","0.18","99.82","7,226"
"California","2014","0.25","99.75","87,880"
"Colorado","2014","1.42","98.58","10,344"
"Connecticut","2014","0.87","99.13","5,949"
"Delaware","2014","0","0","991"
"District of Columbia","2014","0.42","99.58","1,684"
"Florida","2014","0.06","99.94","33,175"
"Georgia","2014","1.03","98.97","14,986"
"Hawaii","2014","0.57","99.43","2,117"
"Idaho","2014","-","-","-"
"Illinois","2014","0.48","99.52","21,917"
"Indiana","2014","0.08","99.92","21,240"
"Iowa","2014","0.25","99.75","10,008"
"Kansas","2014","0.16","99.84","10,105"
"Kentucky","2014","DQ*","DQ*","12,690"
"Louisiana","2014","DQ*","DQ*","7,916"
"Maine","2014","0.3","99.7","2,647"
"Maryland","2014","0.37","99.63","6,418"
"Massachusetts","2014","1.27","98.73","14,907"
"Michigan","2014","0.53","99.47","20,923"
"Minnesota","2014","0.31","99.69","11,457"
"Mississippi","2014","1.07","98.93","6,732"
"Missouri","2014","0.27","99.73","17,563"
"Montana","2014","0.11","99.89","3,562"
"Nebraska","2014","0.23","99.77","6,831"
"Nevada","2014","0.27","99.73","8,073"
"New Hampshire","2014","0","0","1,517"
"New Jersey","2014","0.13","99.87","11,854"
"New Mexico","2014","0.07","99.93","4,173"
"New York","2014","0.63","99.37","31,706"
"North Carolina","2014","DQ*","DQ*","14,429"
"North Dakota","2014","0.09","99.91","2,177"
"Ohio","2014","0.4","99.6","21,878"
"Oklahoma","2014","1.27","98.73","16,273"
"Oregon","2014","0.74","99.26","11,330"
"Pennsylvania","2014","0.12","99.88","24,158"
"Puerto Rico","2014","1.18","98.82","4,763"
"Rhode Island","2014","1.23","98.77","2,928"
"South Carolina","2014","0.58","99.42","6,535"
"South Dakota","2014","0.05","99.95","2,192"
"Tennessee","2014","0.14","99.86","13,284"
"Texas","2014","0.32","99.68","46,573"
"Utah","2014","0.3","99.7","4,973"
"Vermont","2014","0","0","1,733"
"Virginia","2014","0.23","99.77","7,280"
"Washington","2014","0.16","99.84","16,228"
"West Virginia","2014","0.49","99.51","7,963"
"Wisconsin","2014","0.12","99.88","11,148"
"Wyoming","2014","0.05","99.95","1,891"
