"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2014","98.3","1.7","3,757"
"Alaska","2014","86.1","13.9","1,238"
"Arizona","2014","96.2","3.8","4,779"
"Arkansas","2014","94.5","5.5","4,519"
"California","2014","93.6","6.4","37,346"
"Colorado","2014","95.1","4.9","4,903"
"Connecticut","2014","93.7","6.3","4,127"
"Delaware","2014","97.9","2.1","715"
"District of Columbia","2014","94.5","5.5","783"
"Florida","2014","95.1","4.9","23,457"
"Georgia","2014","95.1","4.9","11,268"
"Hawaii","2014","97.9","2.1","656"
"Idaho","2014","96.9","3.1","780"
"Illinois","2014","92.9","7.1","12,158"
"Indiana","2014","92.4","7.6","11,475"
"Iowa","2014","92.6","7.4","4,311"
"Kansas","2014","97.3","2.7","879"
"Kentucky","2014","91.8","8.2","8,550"
"Louisiana","2014","94.2","5.8","5,879"
"Maine","2014","93.9","6.1","1,974"
"Maryland","2014","93","7","4,482"
"Massachusetts","2014","87.1","12.9","16,421"
"Michigan","2014","93.5","6.5","17,129"
"Minnesota","2014","96.1","3.9","2,039"
"Mississippi","2014","93.8","6.2","4,190"
"Missouri","2014","96.4","3.6","2,459"
"Montana","2014","98.5","1.5","592"
"Nebraska","2014","95.1","4.9","1,831"
"Nevada","2014","95.2","4.8","2,422"
"New Hampshire","2014","99.3","0.7","280"
"New Jersey","2014","94.5","5.5","6,021"
"New Mexico","2014","87.3","12.7","3,744"
"New York","2014","88.4","11.6","35,836"
"North Carolina","2014","97.1","2.9","4,141"
"North Dakota","2014","97.2","2.8","853"
"Ohio","2014","92.8","7.2","12,738"
"Oklahoma","2014","93.1","6.9","6,358"
"Oregon","2014","96","4","4,730"
"Pennsylvania","2014","97.9","2.1","1,629"
"Puerto Rico","2014","96.1","3.9","3,657"
"Rhode Island","2014","91.2","8.8","1,711"
"South Carolina","2014","97.1","2.9","6,011"
"South Dakota","2014","96.3","3.7","402"
"Tennessee","2014","97.2","2.8","5,263"
"Texas","2014","97.2","2.8","31,250"
"Utah","2014","93.7","6.3","5,017"
"Vermont","2014","94.2","5.8","395"
"Virginia","2014","98","2","2,897"
"Washington","2014","90.3","9.7","3,759"
"West Virginia","2014","98.4","1.6","2,512"
"Wisconsin","2014","95.1","4.9","2,283"
"Wyoming","2014","96.6","3.4","380"
